date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2008-08-04,0.64872,23.653,1.1641,7.4223,1.7944567764212602,0.04921574430304824,0.1568381768454522
2008-08-11,0.6715,24.332,1.1826,7.8063,1.761131794489948,0.048602663159625185,0.1514930248645325
2008-08-18,0.6781,24.452,1.1889,7.7329,1.7532812269576759,0.048621789628660234,0.15374568402539798
2008-08-25,0.67898,24.568,1.189,7.7488,1.7511561459836815,0.04839628785411918,0.1534431137724551
2008-09-01,0.69142,25.078,1.2088,7.8673,1.7482861357785429,0.04820161097376187,0.15364864693096744
2008-09-08,0.70972,25.624,1.2411,8.0539,1.748717804204475,0.04843506088042461,0.1540992562609419
2008-09-15,0.70048,25.476,1.2678,8.1468,1.8099017816354501,0.04976448422044277,0.15561938429812933
2008-09-22,0.68185,25.042,1.241,8.1287,1.820048397741439,0.049556744668956154,0.15266893845264312
2008-09-29,0.70952,25.656,1.2819,8.3309,1.806714398466569,0.04996492048643592,0.1538729308958216
2008-10-06,0.73249,26.106,1.3797,9.0001,1.8835752023918415,0.052849919558722126,0.1532982966855924
2008-10-13,0.73611,26.178,1.436,9.5416,1.9507953974270147,0.05485522194208877,0.15049886811436236
2008-10-20,0.77095,26.803,1.6275,10.8268,2.111031843829042,0.06072081483416035,0.15032142461299736
2008-10-27,0.78678,27.087,1.5682,10.3696,1.993187422151046,0.057894931147783074,0.15123051998148435
2008-11-03,0.78076,26.977,1.5277,9.8548,1.9566832317229366,0.056629721614708826,0.1550209035190973
2008-11-10,0.78902,27.337,1.6042,10.1954,2.0331550531038505,0.05868237187694334,0.1573454695254723
2008-11-17,0.79252,27.463,1.6706,10.3573,2.107959420582446,0.060830936168663294,0.16129686308207739
2008-11-24,0.77948,27.542,1.5895,10.0564,2.039179966131267,0.05771185825285018,0.15805854977924505
2008-12-01,0.79095,28.027,1.5863,10.3,2.0055629306530123,0.05659899382738074,0.15400970873786407
2008-12-08,0.76722,27.909,1.572,10.1863,2.0489559709079534,0.0563259163710631,0.15432492661712302
2008-12-15,0.71618,27.639,1.5401,10.0024,2.1504370409673546,0.05572198704728826,0.1539730464688475
2008-12-22,0.7151,28.484,1.5205,9.6726,2.1262760453083485,0.05338084538688386,0.15719661724872322
2008-12-29,0.71235,29.413,1.5334,9.4627,2.1525935284621323,0.052133410396763336,0.1620467731197227
2009-01-05,0.73735,29.703,1.5377,9.4969,2.0854411066657628,0.05176918156415177,0.1619159936400299
2009-01-12,0.75546,31.774,1.601,10.0504,2.1192386095888596,0.050387108957008875,0.15929714240229245
2009-01-19,0.7716,32.994,1.6631,10.2022,2.155391394504925,0.05040613444868764,0.16301385975573898
2009-01-26,0.76511,34.063,1.6299,10.0301,2.130281920246762,0.047849572850306776,0.1625008723741538
