date,product,min_price,max_price,avg_price,unit,market
2025-02-26,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-27,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-27,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-27,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-27,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-28,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-28,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-28,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-28,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-01,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-01,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-01,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-01,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-03,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-03,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-03,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-03,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-04,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-04,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-04,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-04,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-05,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-05,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-05,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-05,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-06,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-06,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-06,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-06,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-07,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-07,Limon,20.0,30.0,25.0,Kg,antalya
2025-03-07,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-07,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-08,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-08,Limon,20.0,30.0,25.0,Kg,antalya
2025-03-08,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-08,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-10,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-10,Limon,20.0,30.0,25.0,Kg,antalya
2025-03-10,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-10,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-11,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-11,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-11,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-11,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-12,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-12,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-12,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-12,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-13,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-13,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-13,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-13,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
